src,cropsize,x1,y1,qf,typ,label
biggan_256/biggan_000_302875.png,181,27,71,88,biggan_256,FALSE
biggan_256/biggan_002_230631.png,230,2,14,93,biggan_256,FALSE
biggan_256/biggan_004_464621.png,236,11,9,98,biggan_256,FALSE
biggan_256/biggan_004_554409.png,255,0,0,83,biggan_256,FALSE
biggan_256/biggan_006_866007.png,241,15,8,84,biggan_256,FALSE
biggan_256/biggan_008_236499.png,200,27,38,70,biggan_256,FALSE
biggan_256/biggan_008_943757.png,165,25,1,71,biggan_256,FALSE
biggan_256/biggan_011_206392.png,165,11,77,90,biggan_256,FALSE
biggan_256/biggan_012_687522.png,211,16,34,89,biggan_256,FALSE
biggan_256/biggan_014_047961.png,196,12,2,70,biggan_256,FALSE
biggan_256/biggan_016_554014.png,219,31,11,91,biggan_256,FALSE
biggan_256/biggan_018_836416.png,193,63,34,67,biggan_256,FALSE
biggan_256/biggan_021_367577.png,162,14,27,78,biggan_256,FALSE
biggan_256/biggan_021_385387.png,243,3,5,86,biggan_256,FALSE
biggan_256/biggan_022_604942.png,197,36,2,85,biggan_256,FALSE
biggan_256/biggan_023_647660.png,250,2,0,91,biggan_256,FALSE
biggan_256/biggan_024_966876.png,223,29,16,73,biggan_256,FALSE
biggan_256/biggan_025_666055.png,182,3,1,78,biggan_256,FALSE
biggan_256/biggan_027_499172.png,205,50,48,95,biggan_256,FALSE
biggan_256/biggan_028_733574.png,245,5,9,92,biggan_256,FALSE
biggan_256/biggan_030_817394.png,230,0,5,90,biggan_256,FALSE
biggan_256/biggan_034_008548.png,212,3,12,70,biggan_256,FALSE
biggan_256/biggan_034_283744.png,224,5,5,79,biggan_256,FALSE
biggan_256/biggan_037_920219.png,238,5,0,78,biggan_256,FALSE
biggan_256/biggan_043_451018.png,173,12,31,72,biggan_256,FALSE
biggan_256/biggan_045_439347.png,179,56,51,69,biggan_256,FALSE
biggan_256/biggan_046_338107.png,177,42,27,90,biggan_256,FALSE
biggan_256/biggan_049_204154.png,225,27,0,99,biggan_256,FALSE
biggan_256/biggan_050_605108.png,242,10,1,75,biggan_256,FALSE
biggan_256/biggan_053_822927.png,202,33,20,76,biggan_256,FALSE
biggan_256/biggan_055_281045.png,255,1,0,82,biggan_256,FALSE
biggan_256/biggan_058_169500.png,231,19,23,98,biggan_256,FALSE
biggan_256/biggan_059_882956.png,237,1,14,81,biggan_256,FALSE
biggan_256/biggan_061_290342.png,170,33,53,70,biggan_256,FALSE
biggan_256/biggan_062_452383.png,246,9,3,95,biggan_256,FALSE
biggan_256/biggan_068_596590.png,211,13,15,68,biggan_256,FALSE
biggan_256/biggan_069_692055.png,242,8,5,82,biggan_256,FALSE
